ID_1,NAME_1,Recognized_2021,Recognized_2020,Comparison_Recognized,Comparison_Recognized(%),Arrested_2021,Arrested_2020,Comparison_Arrested,Comparison_Arrested(%),Arrested_Headcount_2021,Arrested_Headcount_2020,Comparison_Headcount,Comparison_Headcount(%),Arrested_Rate_2021,Arrested_Rate_2020,Comparison_Rate_Point(%)
25,Miyazaki,3535,3694,-159,-4.3,1792,1938,-146,-7.5,1192,1213,-21,-1.7,50.7,52.5,-1.8
26,Nagano,5959,6944,-985,-14.2,3401,4130,-729,-17.7,1812,1916,-104,-5.4,57.1,59.5,-2.4
27,Naoasaki,3155,2799,356,12.7,2013,1955,58,3,1579,1492,87,5.8,63.8,69.8,-6
28,Nara,5148,5774,-626,-10.8,3550,3599,-49,-1.4,2097,2040,57,2.8,69,62.3,6.7
29,Niigata,7746,8561,-815,-9.5,4593,4977,-384,-7.7,2629,2862,-233,-8.1,59.3,58.1,1.2
30,Oita,2887,3087,-200,-6.5,1667,1526,141,9.2,1149,1124,25,2.2,57.7,49.4,8.3
31,Okayama,7535,7832,-297,-3.8,3821,3813,8,0.2,2655,2641,14,0.5,50.7,48.7,2
32,Okinawa,5833,5998,-165,-2.8,3327,3448,-121,-3.5,2483,2636,-153,-5.8,57,57.5,-0.5
33,Osaka,62690,68351,-5661,-8.3,18547,19646,-1099,-5.6,13626,14965,-1339,-8.9,29.6,28.7,0.9
34,Saga,2821,3069,-248,-8.1,1980,2011,-31,-1.5,1203,1112,91,8.2,70.2,65.5,4.7
35,Saitama,40166,44485,-4319,-9.7,15902,17754,-1852,-10.4,10324,11253,-929,-8.3,39.6,39.9,-0.3
36,Shiga,5814,6039,-225,-3.7,2952,2511,441,17.6,1893,1807,86,4.8,50.8,41.6,9.2
37,Shimane,1849,1936,-87,-4.5,1365,1439,-74,-5.1,730,728,2,0.3,73.8,74.3,-0.5
38,Shizuoka,14440,15370,-930,-6.1,8067,8043,24,0.3,5488,5513,-25,-0.5,55.9,52.3,3.6
39,Tochigi,9027,9059,-32,-0.4,3845,4787,-942,-19.7,1975,2054,-79,-3.8,42.6,52.8,-10.2
40,Tokushima,2362,2414,-52,-2.2,1068,1329,-261,-19.6,703,673,30,4.5,45.2,55.1,-9.9
41,Tokyo,75288,82764,-7476,-9,30950,33521,-2571,-7.7,21026,23271,-2245,-9.6,41.1,40.5,0.6
42,Tottori,1923,1814,109,6,1408,1355,53,3.9,962,880,82,9.3,73.2,74.7,-1.5
43,Toyama,4546,4539,7,0.2,3125,2741,384,14,1703,1702,1,0.1,68.7,60.4,8.3
44,Wakayama,3310,3899,-589,-15.1,2183,2132,51,2.4,1443,1474,-31,-2.1,66,54.7,11.3
45,Yamagata,3053,3085,-32,-1,2502,2587,-85,-3.3,1402,1505,-103,-6.8,82,83.9,-1.9
46,Yamaguchi,3871,4137,-266,-6.4,2283,2582,-299,-11.6,1590,1694,-104,-6.1,59,62.4,-3.4
47,Yamanashi,2748,3128,-380,-12.1,1518,1660,-142,-8.6,867,1045,-178,-17,55.2,53.1,2.1
